Model,best_params,accuracy,precision,recall,f1_score,auc_roc
Logistic Regression,"{'C': 0.1, 'solver': 'lbfgs'}",0.7134767836919592,0.7098360655737705,0.8506876227897839,0.7739052725647901,0.7674479686498639
Decision Tree,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.7349943374858438,0.7295492487479132,0.8585461689587426,0.7888086642599278,0.7668333631005537
Random Forest,"{'bootstrap': False, 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.7576443941109853,0.7512776831345827,0.8664047151277013,0.8047445255474454,0.8130811174264312
Support Vector Machine,"{'C': 1, 'degree': 2, 'gamma': 'auto', 'kernel': 'rbf'}",0.7417893544733862,0.7345575959933222,0.8644400785854617,0.7942238267148015,0.8061759978147358
Neural Network,"{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (150,), 'learning_rate': 'constant'}",0.7565118912797282,0.7672727272727272,0.8290766208251473,0.7969782813975449,0.8046394839414601
